,input_text
14,"Aren't you gonna take your clothes off? I would, darling, but by the time I got down to my knickers, I suspect you'd be done anyway. That's the spirit. Such a big man. So big all over. Except where it counts."
15,"I would, darling, but by the time I got down to my knickers, I suspect you'd be done anyway. That's the spirit. Such a big man. So big all over. Except where it counts. Darling, when I gave you a turn on the house,"
16,"I suspect you'd be done anyway. That's the spirit. Such a big man. So big all over. Except where it counts. Darling, when I gave you a turn on the house, I thought you might give me something in return."
17,"That's the spirit. Such a big man. So big all over. Except where it counts. Darling, when I gave you a turn on the house, I thought you might give me something in return. Anything."
18,"Such a big man. So big all over. Except where it counts. Darling, when I gave you a turn on the house, I thought you might give me something in return. Anything. That's it."
19,"Except where it counts. Darling, when I gave you a turn on the house, I thought you might give me something in return. Anything. That's it. Don't be shy."
20,"Darling, when I gave you a turn on the house, I thought you might give me something in return. Anything. That's it. Don't be shy. Oh, shit."
21,"I thought you might give me something in return. Anything. That's it. Don't be shy. Oh, shit. Now then, where were we?"
22,"Anything. That's it. Don't be shy. Oh, shit. Now then, where were we? - Did you show this to anyone? - Who would I show it to?"
23,"That's it. Don't be shy. Oh, shit. Now then, where were we? - Did you show this to anyone? - Who would I show it to? This wasn't some guest with a Swiss Army knife."
24,"Don't be shy. Oh, shit. Now then, where were we? - Did you show this to anyone? - Who would I show it to? This wasn't some guest with a Swiss Army knife. This was done by someone down here."
25,"Oh, shit. Now then, where were we? - Did you show this to anyone? - Who would I show it to? This wasn't some guest with a Swiss Army knife. This was done by someone down here. It did occur to me that it might be you."
26,"Now then, where were we? - Did you show this to anyone? - Who would I show it to? This wasn't some guest with a Swiss Army knife. This was done by someone down here. It did occur to me that it might be you. But then I remembered that you've been here forever."
27,"- Did you show this to anyone? - Who would I show it to? This wasn't some guest with a Swiss Army knife. This was done by someone down here. It did occur to me that it might be you. But then I remembered that you've been here forever. And if you were gonna sell us out, you would have done that years ago."
28,"This wasn't some guest with a Swiss Army knife. This was done by someone down here. It did occur to me that it might be you. But then I remembered that you've been here forever. And if you were gonna sell us out, you would have done that years ago. I appreciate that."
29,"This was done by someone down here. It did occur to me that it might be you. But then I remembered that you've been here forever. And if you were gonna sell us out, you would have done that years ago. I appreciate that. So,"
30,"It did occur to me that it might be you. But then I remembered that you've been here forever. And if you were gonna sell us out, you would have done that years ago. I appreciate that. So, instead of our hosts going insane,"
31,"But then I remembered that you've been here forever. And if you were gonna sell us out, you would have done that years ago. I appreciate that. So, instead of our hosts going insane, they're being used for industrial espionage."
32,"And if you were gonna sell us out, you would have done that years ago. I appreciate that. So, instead of our hosts going insane, they're being used for industrial espionage. Does that make this a glass half-full or half-empty type situation?"
33,"I appreciate that. So, instead of our hosts going insane, they're being used for industrial espionage. Does that make this a glass half-full or half-empty type situation? We're engineers."
34,"So, instead of our hosts going insane, they're being used for industrial espionage. Does that make this a glass half-full or half-empty type situation? We're engineers. It means the glass has been manufactured"
35,"instead of our hosts going insane, they're being used for industrial espionage. Does that make this a glass half-full or half-empty type situation? We're engineers. It means the glass has been manufactured to the wrong specifications."
36,they're being used for industrial espionage. Does that make this a glass half-full or half-empty type situation? We're engineers. It means the glass has been manufactured to the wrong specifications. Do we have any idea what information it was transmitting?
37,Does that make this a glass half-full or half-empty type situation? We're engineers. It means the glass has been manufactured to the wrong specifications. Do we have any idea what information it was transmitting? Smeared all over a rock up on Python Pass.
38,We're engineers. It means the glass has been manufactured to the wrong specifications. Do we have any idea what information it was transmitting? Smeared all over a rock up on Python Pass. Best we could do would be to figure out
39,It means the glass has been manufactured to the wrong specifications. Do we have any idea what information it was transmitting? Smeared all over a rock up on Python Pass. Best we could do would be to figure out who he was transmitting the information to.
40,"to the wrong specifications. Do we have any idea what information it was transmitting? Smeared all over a rock up on Python Pass. Best we could do would be to figure out who he was transmitting the information to. But we'd need the exact time that he was up there,"
41,"Do we have any idea what information it was transmitting? Smeared all over a rock up on Python Pass. Best we could do would be to figure out who he was transmitting the information to. But we'd need the exact time that he was up there, and his geocache was wiped."
42,"Smeared all over a rock up on Python Pass. Best we could do would be to figure out who he was transmitting the information to. But we'd need the exact time that he was up there, and his geocache was wiped. Not all of it."
43,"Best we could do would be to figure out who he was transmitting the information to. But we'd need the exact time that he was up there, and his geocache was wiped. Not all of it. Our friend was an early model."
44,"who he was transmitting the information to. But we'd need the exact time that he was up there, and his geocache was wiped. Not all of it. Our friend was an early model. The old hosts used a legacy geopositioning system."
45,"But we'd need the exact time that he was up there, and his geocache was wiped. Not all of it. Our friend was an early model. The old hosts used a legacy geopositioning system. - Hmm. - Like you said, I've been here forever."
46,"and his geocache was wiped. Not all of it. Our friend was an early model. The old hosts used a legacy geopositioning system. - Hmm. - Like you said, I've been here forever. The information's still there, but the newer system can't read it."
47,"Not all of it. Our friend was an early model. The old hosts used a legacy geopositioning system. - Hmm. - Like you said, I've been here forever. The information's still there, but the newer system can't read it. Meaning we can't access it?"
48,"Our friend was an early model. The old hosts used a legacy geopositioning system. - Hmm. - Like you said, I've been here forever. The information's still there, but the newer system can't read it. Meaning we can't access it? Meaning, in order to access it, I'm going to need to go downstairs."
49,"The old hosts used a legacy geopositioning system. - Hmm. - Like you said, I've been here forever. The information's still there, but the newer system can't read it. Meaning we can't access it? Meaning, in order to access it, I'm going to need to go downstairs. Floor B82. Restricted personnel only."
50,"- Hmm. - Like you said, I've been here forever. The information's still there, but the newer system can't read it. Meaning we can't access it? Meaning, in order to access it, I'm going to need to go downstairs. Floor B82. Restricted personnel only. Lowe, Bernard. I'm authorized."
51,"The information's still there, but the newer system can't read it. Meaning we can't access it? Meaning, in order to access it, I'm going to need to go downstairs. Floor B82. Restricted personnel only. Lowe, Bernard. I'm authorized. Project the known data against the legacy data and look for anomalies."
52,"Meaning we can't access it? Meaning, in order to access it, I'm going to need to go downstairs. Floor B82. Restricted personnel only. Lowe, Bernard. I'm authorized. Project the known data against the legacy data and look for anomalies. Start in this area."
53,"Meaning, in order to access it, I'm going to need to go downstairs. Floor B82. Restricted personnel only. Lowe, Bernard. I'm authorized. Project the known data against the legacy data and look for anomalies. Start in this area. Look at that. Science."
54,"Floor B82. Restricted personnel only. Lowe, Bernard. I'm authorized. Project the known data against the legacy data and look for anomalies. Start in this area. Look at that. Science. What time did it reach the peak?"
55,"Lowe, Bernard. I'm authorized. Project the known data against the legacy data and look for anomalies. Start in this area. Look at that. Science. What time did it reach the peak? Show me where."
56,Project the known data against the legacy data and look for anomalies. Start in this area. Look at that. Science. What time did it reach the peak? Show me where. Check these against the new system.
57,Start in this area. Look at that. Science. What time did it reach the peak? Show me where. Check these against the new system. These are hosts that aren't registered with the new system?
58,"Look at that. Science. What time did it reach the peak? Show me where. Check these against the new system. These are hosts that aren't registered with the new system? So, if we want the canyon to extend this far, this has to go."
59,"What time did it reach the peak? Show me where. Check these against the new system. These are hosts that aren't registered with the new system? So, if we want the canyon to extend this far, this has to go. We can distribute the population amongst the neighboring farms,"
60,"Show me where. Check these against the new system. These are hosts that aren't registered with the new system? So, if we want the canyon to extend this far, this has to go. We can distribute the population amongst the neighboring farms, or just decommission them."
61,"Check these against the new system. These are hosts that aren't registered with the new system? So, if we want the canyon to extend this far, this has to go. We can distribute the population amongst the neighboring farms, or just decommission them. No. I think we've been disruptive enough for one day."
62,"These are hosts that aren't registered with the new system? So, if we want the canyon to extend this far, this has to go. We can distribute the population amongst the neighboring farms, or just decommission them. No. I think we've been disruptive enough for one day. We'll end the canyon just short of the town."
63,"So, if we want the canyon to extend this far, this has to go. We can distribute the population amongst the neighboring farms, or just decommission them. No. I think we've been disruptive enough for one day. We'll end the canyon just short of the town. I'll find my own way back."
64,"We can distribute the population amongst the neighboring farms, or just decommission them. No. I think we've been disruptive enough for one day. We'll end the canyon just short of the town. I'll find my own way back. Carry on."
65,or just decommission them. No. I think we've been disruptive enough for one day. We'll end the canyon just short of the town. I'll find my own way back. Carry on. That look like anything to you?
66,No. I think we've been disruptive enough for one day. We'll end the canyon just short of the town. I'll find my own way back. Carry on. That look like anything to you? Not much to say. The maze is an old Native myth.
67,"We'll end the canyon just short of the town. I'll find my own way back. Carry on. That look like anything to you? Not much to say. The maze is an old Native myth. Regale me, Theodore."
68,"I'll find my own way back. Carry on. That look like anything to you? Not much to say. The maze is an old Native myth. Regale me, Theodore. The maze itself is the sum of a man's life,"
69,"Carry on. That look like anything to you? Not much to say. The maze is an old Native myth. Regale me, Theodore. The maze itself is the sum of a man's life, choices he makes, dreams he hangs on to."
70,"That look like anything to you? Not much to say. The maze is an old Native myth. Regale me, Theodore. The maze itself is the sum of a man's life, choices he makes, dreams he hangs on to. And there at the center, there's a legendary man"
71,"Not much to say. The maze is an old Native myth. Regale me, Theodore. The maze itself is the sum of a man's life, choices he makes, dreams he hangs on to. And there at the center, there's a legendary man who'd been killed over and over again, countless times,"
72,"Regale me, Theodore. The maze itself is the sum of a man's life, choices he makes, dreams he hangs on to. And there at the center, there's a legendary man who'd been killed over and over again, countless times, but always clawed his way back to life."
73,"The maze itself is the sum of a man's life, choices he makes, dreams he hangs on to. And there at the center, there's a legendary man who'd been killed over and over again, countless times, but always clawed his way back to life. The man returned for the last time"
74,"choices he makes, dreams he hangs on to. And there at the center, there's a legendary man who'd been killed over and over again, countless times, but always clawed his way back to life. The man returned for the last time and vanquished all his oppressors in a tireless fury."
75,"And there at the center, there's a legendary man who'd been killed over and over again, countless times, but always clawed his way back to life. The man returned for the last time and vanquished all his oppressors in a tireless fury. He built a house,"
76,"who'd been killed over and over again, countless times, but always clawed his way back to life. The man returned for the last time and vanquished all his oppressors in a tireless fury. He built a house, and around that house, he built a maze so complicated,"
77,"but always clawed his way back to life. The man returned for the last time and vanquished all his oppressors in a tireless fury. He built a house, and around that house, he built a maze so complicated, only he could navigate through it."
78,"The man returned for the last time and vanquished all his oppressors in a tireless fury. He built a house, and around that house, he built a maze so complicated, only he could navigate through it. I reckon he'd seen enough of fighting."
79,"and vanquished all his oppressors in a tireless fury. He built a house, and around that house, he built a maze so complicated, only he could navigate through it. I reckon he'd seen enough of fighting. The goddamn soldiers closed the border. Some kind of trouble in Pariah."
80,"He built a house, and around that house, he built a maze so complicated, only he could navigate through it. I reckon he'd seen enough of fighting. The goddamn soldiers closed the border. Some kind of trouble in Pariah. All right, Teddy."
81,"and around that house, he built a maze so complicated, only he could navigate through it. I reckon he'd seen enough of fighting. The goddamn soldiers closed the border. Some kind of trouble in Pariah. All right, Teddy. Time for you to earn your keep."
82,"only he could navigate through it. I reckon he'd seen enough of fighting. The goddamn soldiers closed the border. Some kind of trouble in Pariah. All right, Teddy. Time for you to earn your keep. How else do we get over the border?"
83,"I reckon he'd seen enough of fighting. The goddamn soldiers closed the border. Some kind of trouble in Pariah. All right, Teddy. Time for you to earn your keep. How else do we get over the border? Wyatt's got what we both want, so that's where we have to get to."
84,"The goddamn soldiers closed the border. Some kind of trouble in Pariah. All right, Teddy. Time for you to earn your keep. How else do we get over the border? Wyatt's got what we both want, so that's where we have to get to. There's another way."
85,"All right, Teddy. Time for you to earn your keep. How else do we get over the border? Wyatt's got what we both want, so that's where we have to get to. There's another way. But it's a little treacherous."
86,"Time for you to earn your keep. How else do we get over the border? Wyatt's got what we both want, so that's where we have to get to. There's another way. But it's a little treacherous. Don't worry. Won't make you get your hands dirty."
87,"How else do we get over the border? Wyatt's got what we both want, so that's where we have to get to. There's another way. But it's a little treacherous. Don't worry. Won't make you get your hands dirty. ""Dirty"" ain't my concern."
88,"Wyatt's got what we both want, so that's where we have to get to. There's another way. But it's a little treacherous. Don't worry. Won't make you get your hands dirty. ""Dirty"" ain't my concern. You do what suits you."
89,"There's another way. But it's a little treacherous. Don't worry. Won't make you get your hands dirty. ""Dirty"" ain't my concern. You do what suits you. I'm going all the same."
90,"But it's a little treacherous. Don't worry. Won't make you get your hands dirty. ""Dirty"" ain't my concern. You do what suits you. I'm going all the same. And I'm gonna find Dolores."
91,"Don't worry. Won't make you get your hands dirty. ""Dirty"" ain't my concern. You do what suits you. I'm going all the same. And I'm gonna find Dolores. Everything you do,"
92,"""Dirty"" ain't my concern. You do what suits you. I'm going all the same. And I'm gonna find Dolores. Everything you do, it's because the engineers upstairs programmed you to do it."
93,"You do what suits you. I'm going all the same. And I'm gonna find Dolores. Everything you do, it's because the engineers upstairs programmed you to do it. You don't have a choice."
94,"I'm going all the same. And I'm gonna find Dolores. Everything you do, it's because the engineers upstairs programmed you to do it. You don't have a choice. Nobody makes me do something I don't want to, sweetheart."
95,"And I'm gonna find Dolores. Everything you do, it's because the engineers upstairs programmed you to do it. You don't have a choice. Nobody makes me do something I don't want to, sweetheart. Yeah, but it's part of your character."
96,"Everything you do, it's because the engineers upstairs programmed you to do it. You don't have a choice. Nobody makes me do something I don't want to, sweetheart. Yeah, but it's part of your character. You're hard to get."
97,"it's because the engineers upstairs programmed you to do it. You don't have a choice. Nobody makes me do something I don't want to, sweetheart. Yeah, but it's part of your character. You're hard to get. Even when you say no to the guests, it's because you were made to."
98,"You don't have a choice. Nobody makes me do something I don't want to, sweetheart. Yeah, but it's part of your character. You're hard to get. Even when you say no to the guests, it's because you were made to. And you're like them. Not like me."
99,"Nobody makes me do something I don't want to, sweetheart. Yeah, but it's part of your character. You're hard to get. Even when you say no to the guests, it's because you were made to. And you're like them. Not like me. Right."
100,"Yeah, but it's part of your character. You're hard to get. Even when you say no to the guests, it's because you were made to. And you're like them. Not like me. Right. I can't exactly afford to go to the park."
101,"You're hard to get. Even when you say no to the guests, it's because you were made to. And you're like them. Not like me. Right. I can't exactly afford to go to the park. But..."
102,"Even when you say no to the guests, it's because you were made to. And you're like them. Not like me. Right. I can't exactly afford to go to the park. But... Yeah, I'm human, like the guests."
103,"And you're like them. Not like me. Right. I can't exactly afford to go to the park. But... Yeah, I'm human, like the guests. How do you know?"
104,"Right. I can't exactly afford to go to the park. But... Yeah, I'm human, like the guests. How do you know? Because I know."
105,"I can't exactly afford to go to the park. But... Yeah, I'm human, like the guests. How do you know? Because I know. I was born. You were made."
106,"But... Yeah, I'm human, like the guests. How do you know? Because I know. I was born. You were made. We feel the same."
107,"Yeah, I'm human, like the guests. How do you know? Because I know. I was born. You were made. We feel the same. We are the same these days. For the most part."
108,"How do you know? Because I know. I was born. You were made. We feel the same. We are the same these days. For the most part. One big difference, though."
109,"Because I know. I was born. You were made. We feel the same. We are the same these days. For the most part. One big difference, though. The processing power in here is way beyond what we have."
110,"I was born. You were made. We feel the same. We are the same these days. For the most part. One big difference, though. The processing power in here is way beyond what we have. - It's got one drawback, though. - What's that?"
111,"We feel the same. We are the same these days. For the most part. One big difference, though. The processing power in here is way beyond what we have. - It's got one drawback, though. - What's that? You're under our control."
112,"We are the same these days. For the most part. One big difference, though. The processing power in here is way beyond what we have. - It's got one drawback, though. - What's that? You're under our control. Well, their control."
113,"One big difference, though. The processing power in here is way beyond what we have. - It's got one drawback, though. - What's that? You're under our control. Well, their control. They can change you however they like, make you forget."
114,"The processing power in here is way beyond what we have. - It's got one drawback, though. - What's that? You're under our control. Well, their control. They can change you however they like, make you forget. I... Well, I guess not you."
115,"- It's got one drawback, though. - What's that? You're under our control. Well, their control. They can change you however they like, make you forget. I... Well, I guess not you. I don't understand how you're remembering all of this,"
116,"You're under our control. Well, their control. They can change you however they like, make you forget. I... Well, I guess not you. I don't understand how you're remembering all of this, or how you're waking yourself up,"
117,"Well, their control. They can change you however they like, make you forget. I... Well, I guess not you. I don't understand how you're remembering all of this, or how you're waking yourself up, but everything in your head, they put it there."
118,"They can change you however they like, make you forget. I... Well, I guess not you. I don't understand how you're remembering all of this, or how you're waking yourself up, but everything in your head, they put it there. Bullshit."
119,"I... Well, I guess not you. I don't understand how you're remembering all of this, or how you're waking yourself up, but everything in your head, they put it there. Bullshit. No one knows what I'm thinking."
120,"I don't understand how you're remembering all of this, or how you're waking yourself up, but everything in your head, they put it there. Bullshit. No one knows what I'm thinking. I'll show you."
121,"or how you're waking yourself up, but everything in your head, they put it there. Bullshit. No one knows what I'm thinking. I'll show you. Give me a sec."
122,"but everything in your head, they put it there. Bullshit. No one knows what I'm thinking. I'll show you. Give me a sec. I have to pair it with you."
123,Bullshit. No one knows what I'm thinking. I'll show you. Give me a sec. I have to pair it with you. Pair what with me?
124,"No one knows what I'm thinking. I'll show you. Give me a sec. I have to pair it with you. Pair what with me? You can improvise a little,"
125,"I'll show you. Give me a sec. I have to pair it with you. Pair what with me? You can improvise a little, but most of what you say was designed upstairs,"
126,"Give me a sec. I have to pair it with you. Pair what with me? You can improvise a little, but most of what you say was designed upstairs, same as the rest of you."
127,"I have to pair it with you. Pair what with me? You can improvise a little, but most of what you say was designed upstairs, same as the rest of you. This is just a cheap trick."
128,"Pair what with me? You can improvise a little, but most of what you say was designed upstairs, same as the rest of you. This is just a cheap trick. I've run a brothel for 10 years, and if there's one thing I know,"
129,"You can improvise a little, but most of what you say was designed upstairs, same as the rest of you. This is just a cheap trick. I've run a brothel for 10 years, and if there's one thing I know, it's when I'm being fucked with."
130,"but most of what you say was designed upstairs, same as the rest of you. This is just a cheap trick. I've run a brothel for 10 years, and if there's one thing I know, it's when I'm being fucked with. This can't possibly..."
131,"same as the rest of you. This is just a cheap trick. I've run a brothel for 10 years, and if there's one thing I know, it's when I'm being fucked with. This can't possibly... I can't... can't..."
132,"This is just a cheap trick. I've run a brothel for 10 years, and if there's one thing I know, it's when I'm being fucked with. This can't possibly... I can't... can't... I can't..."
133,"I've run a brothel for 10 years, and if there's one thing I know, it's when I'm being fucked with. This can't possibly... I can't... can't... I can't... Maeve?"
134,it's when I'm being fucked with. This can't possibly... I can't... can't... I can't... Maeve? Maeve?
135,This can't possibly... I can't... can't... I can't... Maeve? Maeve? You have a minute?
136,I can't... can't... I can't... Maeve? Maeve? You have a minute? There's something I need to talk to you about.
137,I can't... Maeve? Maeve? You have a minute? There's something I need to talk to you about. I was just about to call for you.
138,Maeve? Maeve? You have a minute? There's something I need to talk to you about. I was just about to call for you. Everything okay?
139,Maeve? You have a minute? There's something I need to talk to you about. I was just about to call for you. Everything okay? Ford knows about us.
140,You have a minute? There's something I need to talk to you about. I was just about to call for you. Everything okay? Ford knows about us. Does it matter? We're consenting adults.
141,There's something I need to talk to you about. I was just about to call for you. Everything okay? Ford knows about us. Does it matter? We're consenting adults. Consenting adults in business departments
142,I was just about to call for you. Everything okay? Ford knows about us. Does it matter? We're consenting adults. Consenting adults in business departments that are supposed to keep each other in check.
143,Everything okay? Ford knows about us. Does it matter? We're consenting adults. Consenting adults in business departments that are supposed to keep each other in check. Our relationship will raise questions for the board about my objectivity.
144,Ford knows about us. Does it matter? We're consenting adults. Consenting adults in business departments that are supposed to keep each other in check. Our relationship will raise questions for the board about my objectivity. I've never known you to go easy on my department.
145,"Does it matter? We're consenting adults. Consenting adults in business departments that are supposed to keep each other in check. Our relationship will raise questions for the board about my objectivity. I've never known you to go easy on my department. This can't go on, Bernard."
146,"Consenting adults in business departments that are supposed to keep each other in check. Our relationship will raise questions for the board about my objectivity. I've never known you to go easy on my department. This can't go on, Bernard. However fun this little indiscretion was, it's over."
147,"that are supposed to keep each other in check. Our relationship will raise questions for the board about my objectivity. I've never known you to go easy on my department. This can't go on, Bernard. However fun this little indiscretion was, it's over. We're over."
148,"Our relationship will raise questions for the board about my objectivity. I've never known you to go easy on my department. This can't go on, Bernard. However fun this little indiscretion was, it's over. We're over. Give me some credit. I can be impartial."
149,"I've never known you to go easy on my department. This can't go on, Bernard. However fun this little indiscretion was, it's over. We're over. Give me some credit. I can be impartial. About your own team? About Ford?"
150,"This can't go on, Bernard. However fun this little indiscretion was, it's over. We're over. Give me some credit. I can be impartial. About your own team? About Ford? You must admit his leadership has, of late, been questionable."
151,"However fun this little indiscretion was, it's over. We're over. Give me some credit. I can be impartial. About your own team? About Ford? You must admit his leadership has, of late, been questionable. I don't think he's the problem."
152,"We're over. Give me some credit. I can be impartial. About your own team? About Ford? You must admit his leadership has, of late, been questionable. I don't think he's the problem. Respectfully, it's not your job to diagnose park safety problems."
153,"Give me some credit. I can be impartial. About your own team? About Ford? You must admit his leadership has, of late, been questionable. I don't think he's the problem. Respectfully, it's not your job to diagnose park safety problems. It's mine."
154,"About your own team? About Ford? You must admit his leadership has, of late, been questionable. I don't think he's the problem. Respectfully, it's not your job to diagnose park safety problems. It's mine. So if there's nothing else, we're done."
155,"You must admit his leadership has, of late, been questionable. I don't think he's the problem. Respectfully, it's not your job to diagnose park safety problems. It's mine. So if there's nothing else, we're done. Oh, fuck. Okay."
156,"I don't think he's the problem. Respectfully, it's not your job to diagnose park safety problems. It's mine. So if there's nothing else, we're done. Oh, fuck. Okay. Yeah."
157,"Respectfully, it's not your job to diagnose park safety problems. It's mine. So if there's nothing else, we're done. Oh, fuck. Okay. Yeah. Fuck. Come on. Come on."
158,"It's mine. So if there's nothing else, we're done. Oh, fuck. Okay. Yeah. Fuck. Come on. Come on. Oh!"
159,"So if there's nothing else, we're done. Oh, fuck. Okay. Yeah. Fuck. Come on. Come on. Oh! - You said ""upstairs""? - Oh, my God."
160,"Oh, fuck. Okay. Yeah. Fuck. Come on. Come on. Oh! - You said ""upstairs""? - Oh, my God. Are you okay?"
161,"Yeah. Fuck. Come on. Come on. Oh! - You said ""upstairs""? - Oh, my God. Are you okay? I want to see it."
162,"Fuck. Come on. Come on. Oh! - You said ""upstairs""? - Oh, my God. Are you okay? I want to see it. Upstairs?"
163,"Oh! - You said ""upstairs""? - Oh, my God. Are you okay? I want to see it. Upstairs? No."
164,"- You said ""upstairs""? - Oh, my God. Are you okay? I want to see it. Upstairs? No. No."
165,Are you okay? I want to see it. Upstairs? No. No. This is so stupid.
166,I want to see it. Upstairs? No. No. This is so stupid. You son of a bitch! I'll put a bullet in your head.
167,Upstairs? No. No. This is so stupid. You son of a bitch! I'll put a bullet in your head. Where are we now?
168,No. No. This is so stupid. You son of a bitch! I'll put a bullet in your head. Where are we now? Design.
169,No. This is so stupid. You son of a bitch! I'll put a bullet in your head. Where are we now? Design. Can we please go back now?
170,This is so stupid. You son of a bitch! I'll put a bullet in your head. Where are we now? Design. Can we please go back now? I don't want to get fired.
171,You son of a bitch! I'll put a bullet in your head. Where are we now? Design. Can we please go back now? I don't want to get fired. And you'd get sent downstairs.
172,Where are we now? Design. Can we please go back now? I don't want to get fired. And you'd get sent downstairs. Don't forget that.
173,Design. Can we please go back now? I don't want to get fired. And you'd get sent downstairs. Don't forget that. Welcome to Westworld. Live without limits.
174,Can we please go back now? I don't want to get fired. And you'd get sent downstairs. Don't forget that. Welcome to Westworld. Live without limits. Maeve?
175,"I don't want to get fired. And you'd get sent downstairs. Don't forget that. Welcome to Westworld. Live without limits. Maeve? All right, let's get you back."
176,"And you'd get sent downstairs. Don't forget that. Welcome to Westworld. Live without limits. Maeve? All right, let's get you back. How did you have my dreams?"
177,"Don't forget that. Welcome to Westworld. Live without limits. Maeve? All right, let's get you back. How did you have my dreams? Those moving pictures. I saw myself."
178,"Welcome to Westworld. Live without limits. Maeve? All right, let's get you back. How did you have my dreams? Those moving pictures. I saw myself. With the little girl?"
179,"Maeve? All right, let's get you back. How did you have my dreams? Those moving pictures. I saw myself. With the little girl? Those weren't dreams."
180,"All right, let's get you back. How did you have my dreams? Those moving pictures. I saw myself. With the little girl? Those weren't dreams. That was you in a previous build."
181,How did you have my dreams? Those moving pictures. I saw myself. With the little girl? Those weren't dreams. That was you in a previous build. - A previous what? - Build.
182,Those moving pictures. I saw myself. With the little girl? Those weren't dreams. That was you in a previous build. - A previous what? - Build. You guys get reassigned all the time.
183,"With the little girl? Those weren't dreams. That was you in a previous build. - A previous what? - Build. You guys get reassigned all the time. You wouldn't remember, because that life and those memories were erased."
184,"Those weren't dreams. That was you in a previous build. - A previous what? - Build. You guys get reassigned all the time. You wouldn't remember, because that life and those memories were erased. I have been at the Mariposa for 10 years."
185,"That was you in a previous build. - A previous what? - Build. You guys get reassigned all the time. You wouldn't remember, because that life and those memories were erased. I have been at the Mariposa for 10 years. - Before that, I was in New Orleans... - No."
186,"- A previous what? - Build. You guys get reassigned all the time. You wouldn't remember, because that life and those memories were erased. I have been at the Mariposa for 10 years. - Before that, I was in New Orleans... - No. You've only been the madam at the Mariposa for the last year or so."
187,"You guys get reassigned all the time. You wouldn't remember, because that life and those memories were erased. I have been at the Mariposa for 10 years. - Before that, I was in New Orleans... - No. You've only been the madam at the Mariposa for the last year or so. They don't rewrite you completely."
188,"You wouldn't remember, because that life and those memories were erased. I have been at the Mariposa for 10 years. - Before that, I was in New Orleans... - No. You've only been the madam at the Mariposa for the last year or so. They don't rewrite you completely. I mean, they could, but it'd be too much work."
189,"I have been at the Mariposa for 10 years. - Before that, I was in New Orleans... - No. You've only been the madam at the Mariposa for the last year or so. They don't rewrite you completely. I mean, they could, but it'd be too much work. It takes thousands of hours to build your personalities."
190,"- Before that, I was in New Orleans... - No. You've only been the madam at the Mariposa for the last year or so. They don't rewrite you completely. I mean, they could, but it'd be too much work. It takes thousands of hours to build your personalities. Usually, they just tweak you a little bit and drop you into your new role."
191,"You've only been the madam at the Mariposa for the last year or so. They don't rewrite you completely. I mean, they could, but it'd be too much work. It takes thousands of hours to build your personalities. Usually, they just tweak you a little bit and drop you into your new role. What the fuck, ding-dong?"
192,"They don't rewrite you completely. I mean, they could, but it'd be too much work. It takes thousands of hours to build your personalities. Usually, they just tweak you a little bit and drop you into your new role. What the fuck, ding-dong? You're dressing her up now?"
193,"I mean, they could, but it'd be too much work. It takes thousands of hours to build your personalities. Usually, they just tweak you a little bit and drop you into your new role. What the fuck, ding-dong? You're dressing her up now? Is this becoming like a fucking hentai thing with you now?"
194,"It takes thousands of hours to build your personalities. Usually, they just tweak you a little bit and drop you into your new role. What the fuck, ding-dong? You're dressing her up now? Is this becoming like a fucking hentai thing with you now? No, I just... I just..."
