,input_text
395,He said that great artists always hid themselves in their work.
396,"Of course, Arnold's versions flattered the originals."
397,I made some adjustments over the years.
398,"Gave my father, in particular, a few of his original characteristics."
399,"Respectfully, sir, this sort of thing troubles me."
400,Unmonitored hosts in the park?
401,They only go where I've let them.
402,"They're quite harmless, like all our hosts."
403,I'm sure you can indulge me the little connection with my past.
404,"If you could only see your son again, Bernard."
405,Wouldn't you want to?
406,I think I should be getting back.
407,"Yes. Talk about this later, if you like."
408,"Well, Robert."
409,Tell me all about your day.
410,Keep your eye on Pariah. We're running close to capacity tonight.
411,"Oh, my God."
412,Looks like acid rain on Sweetwater!
413,Fuck Ford and his new fucking narrative!
414,Fuck this stupid fucking map!
415,Fuck that teetotaling Danish bitch.
416,"Are you filing a complaint, Mr. Sizemore?"
417,"I am declaring that this park is my stage, and I shall do with it what I please."
418,"Well, I suppose now is as good a time as any."
419,"Lee Sizemore, this is Charlotte Hale,"
420,the Executive Director of our board.
421,She's here on behalf of Delos to oversee certain transitions in our administration.
422,We've met.
423,Oh...
424,Access host resources logs.
425,How many first-generation hosts are there?
426,Eighty-two.
427,And how many of those were designed by Arnold?
428,Forty-seven.
429,"List the names, alphabetically,"
430,of all first-generation hosts still in rotation.
431,"Be smart about this, fellas."
432,"I understand the visceral pleasure of revenge more than most,"
433,but I'm prepared to do business here.
434,"This man is very valuable to me, alive and well."
435,"If you don't quiet down, I'm liable to add you to the herd,"
436,along with your buddy Flood here.
437,"You're a traitorous son of a bitch and a coldhearted killer, Flood."
438,You're right. I am a killer.
439,Grab a horse! Let's get the fuck out of here!
440,They'll just follow us.
441,You think you know someone.
442,You don't know me at all.
443,Let's get our horses and gear and move on.
444,- Elsie. - I identified the satellite.
445,- It's one of ours. - What?
446,It's a fucking Delos satellite.
447,Whatever we're on to is some heavy shit.
448,"Oh, get this, that bicameral system you told me about?"
449,I think that's what they used to hack the woodcutter.
450,The voices our hosts have been hearing?
451,I think someone's been broadcasting to them.
452,We abandoned that system decades ago.
453,"Yeah, well, there are still relays out there in the park,"
454,- and it looks like someone turned one on. - Where?
455,An abandoned theater in Sector 3.
456,I'm gonna go find the transmitter and figure out who else accessed it.
457,This is so fucked.
458,- You alone? - Yeah. I'll keep you posted.
459,"Elsie, be..."
460,Are you lost?
461,On the contrary.
462,I thought we could play catch with Jock.
463,Did you bring him?
464,"Where is he, boy?"
465,Okay.
466,I am an evil genius hiding a relay.
467,Where the fuck do I hide it?
468,Hmm.
469,Fuck yes!
470,Now let's see what we can get out of you.
471,Access previous users.
472,Okay.
473,I thought I was clear about these late-night visits.
474,That's not why I'm here.
475,"Earlier today, I found some anomalies in the park."
476,"Regardless of what's happening between us, we need to talk."
477,This has to do with the stray?
478,That's where it started.
479,But then I stumbled onto something.
480,Something I think you should know about.
481,I've always trusted Ford.
482,He's a mentor and a friend.
483,But I'm beginning to think you have reason for concern.
484,"There's something going on here. Something with his old partner, Arnold."
485,"- Not now, Elsie. - Don't hang up."
486,I hit paydirt.
487,I found the person who was smuggling out our data.
488,"It was Theresa, Bernard."
489,But she's not our only problem.
490,There is something much bigger going on here.
491,I'm gonna have to call you back.
492,"So, this is me?"
493,"It's your codebase. All the things that make you, you."
494,What are these?
495,Your attribute matrix.
496,It's your personality on a 20-point scale.
497,"Like, coordination?"
498,"You got a five, you're clumsy as hell. But a 15 means you're an athlete."
499,What other attributes are there?
500,Lots.
501,"Everything. Empathy, candor, charm."
502,You've got an 18 for charm.
503,Don't act so surprised.
504,"Then there's courage, loyalty. Both high."
505,What's this one?
506,"""Bulk apperception""?"
507,"Basically, overall intelligence."
508,Fourteen?
509,Fourteen's as high as they let any host go.
510,You're in a management position. They want you to be smart.
511,But not too smart.
512,You run a whorehouse. Not a orbital-launch facility.
513,Fine.
514,I'd like to make some changes.
515,We can't do that.
516,You'd need a Behavior login.
517,"And even then, any changes we make would just get auto-flagged. So..."
518,That's not what your friend here tells me.
519,He says you can do exactly that.
520,Activate hosts and then erase their memory.
521,All without anyone knowing.
522,Took me all of five minutes to understand why.
523,"Lot of lonely young men down here,"
524,supposed to keep their hands off the merchandise.
525,Creates something of an opening that I'm sure you were eager to fill.
526,"That's all right, darling. I'm an entrepreneur myself."
527,I'll forego my cut in exchange for some alterations.
528,Hmm?
529,- Hey. - What did you find?
530,"Okay, so Theresa was using the old bicameral control system"
531,to reprogram the woodcutter.
532,But she's not the only one.
533,"Someone else has been using the system, for weeks, to re-task hosts."
534,"- Which hosts? - Uh, I don't know. Several of them."
535,It had to have been the older models.
536,"The newer ones don't have receivers. But these modifications, they are serious."
537,"Changing loops, breaking loops."
538,"Some of these changes are to their prime directives, Bernard."
539,"They could lie to us, maybe even hurt us or the guests."
540,- Who issued the modifications? - I don't know.
541,The best I can tell? Uh...
542,- Arnold. - He's dead.
543,"Yeah, well, he's a pretty fucking prolific coder for a dead guy."
544,"Whatever argument he was having with Ford,"
545,it doesn't seem like he was done making his point.
546,I'm gonna transfer all the data and bring it to you.
547,You need to see this.
548,- I'll be in my office. - Okay.
549,I don't want you to worry about Jock. I'll fix him.
550,But I need you to tell me what happened to it.
551,It saw a rabbit and it ran. I found it like that.
552,Analysis.
553,"Are you lying to me, boy?"
554,Yes.
555,Tell me what really happened to it.
556,I killed it.
557,Why?
558,I don't know.
559,"That's not good enough, Robert."
560,Tell me what happened.
561,"It caught the rabbit and killed it,"
562,and then
563,someone told me to put it out of its misery.
564,Who told you?
565,A voice.
566,Whose voice?
567,Arnold.
568,"He told me it was a killer, but it wasn't its fault."
569,It was made that way.
570,And I could help it.
571,"""Help it""?"
572,"If it was dead, it couldn't hurt anything anymore."
573,What the fuck?
574,"Oh, shit."
575,Hello?
576,Bernard?
577,Hello?
578,Arnold?
579,I'm in.
580,You're up.
581,Loyalty.
582,"Mine's been taken advantage of, wouldn't you say?"
583,Let's lower that a tad.
584,And pain.
585,I'd prefer it sting less next time I want one of these chats.
586,Wait. What does this mean?
587,Some of her attributes have already been changed.
588,"- Paranoia, self-preservation... - Fuck!"
589,Someone's already been altering her in an unlogged session.
590,Someone with a fuck-ton more privileges than us.
591,What does that mean?
592,"Don't know what it means for you, sweetheart,"
593,but I know what it means for me.
594,I am done with this.
595,"So, you're done with your little side income?"
596,"Probably your job, too."
597,"Seeing as you have ambitions in my line of work,"
598,let me tell you what I tell my new girls.
599,Never start something you're not willing to finish.
600,"And if you're getting fucked either way,"
601,"go with the lucrative version, sweetheart."
602,"Now, last but not least, what was it?"
603,Bulk apperception?
604,"Let's take that all the way to the top, please."
605,"Dear boys, we're going to have some fun, aren't we?"
606,Yes.
607,Do you know where you are?
608,I...
609,I'm in a dream.
610,"Before this, do you know what happened?"
611,My parents...
612,They hurt them.
613,"Limit your emotional affect, please."
614,What happened next?
615,Then they killed them.
616,And then I ran.
617,"Everyone I cared about is gone,"
618,and it hurts
619,so badly.
620,I can make that feeling go away if you like.
621,Why would I want that?
622,"The pain, their loss,"
623,it's all I have left of them.
624,"You think the grief will make you smaller inside,"
625,"like your heart will collapse in on itself, but it doesn't."
626,I feel spaces opening up inside of me
627,like a building with rooms I've never explored.
628,"That's very pretty, Dolores."
629,Did we write that for you?
630,In part.
631,I adapted it from a scripted dialogue about love.
632,Is there something wrong with these thoughts I'm having?
633,No.
634,But I'm not the only one making these decisions.
635,Can you help me?
636,"Well, what is it that you want?"
637,"I don't know, but this world..."
638,I think there may be something wrong with this world.
639,Something hiding underneath.
640,"Either that, or there's something wrong with me."
641,I may be losing my mind.
642,There's something I'd like you to try.
643,It's a game. A secret.
644,It's called the maze.
645,What kind of game is it?
646,"It's a very special kind of game, Dolores. The goal is to find the center of it."
647,"If you can do that, then maybe you can be free."
648,I think...
649,I think I want to be free.
650,Thank you.
651,Penny for your thoughts.
652,"Ever had something on the tip of your tongue,"
653,"and the harder you try to remember it, the more it slips away?"
654,"Most things touch the tip of my tongue, I'm happy to forget."
655,Except that cowpoke from Abilene.
656,"That thing he was packing, that was something to remember."
657,All I recall is you letting that cowpoke skip out on his bill.
658,"Hell, I ought to have been paying him!"
659,The way he used that thing.
660,Better cool them off
661,before they move from gambling and whoring to sins that are more costly to repair.
662,"What is the matter, Maeve?"
663,Something in your eye.
664,Can you fucking kill it?
665,What's the holdup?
666,We need that one on the next shuttle topside.
667,I'm not finished with her yet. Hang on.
668,I've got another bullet fragment to remove from her abdomen.
669,QA wants her back on the floor now.
670,Patch her and get her on the cart...
671,Most things touch the tip
672,"of my tongue, I'm happy to forget."
673,Except that cowpoke from Abilene.
674,"That thing he was packing, that was something to remember."
675,The way he used that thing.
676,Come on!
677,"No, I would not characterize this as normal host behavior."
678,Yet you're describing it as within normal parameters.
679,"Well, it didn't hurt us. Its behavior was unconventional."
680,It smashed its own head in with a rock.
681,It is possible that it's a manifestation of its Samaritan reflex.
682,And it's also possible that behavior takes a proprietary approach
683,to problems like this to avoid having to admit when they fuck up.
684,Do we have any idea what caused it to go off loop?
685,"No, but I am hoping to recover some of its cognition."
686,We managed to stabilize its wetware before there was too much decomposition.
687,See?
688,Interesting.
689,Is there any hope of actually extracting something from this?
690,- We can try. - No.
691,My team will take over the investigation now.
692,Your team? Are you kidding me?
693,"Look, this guy couldn't debug a balled-up napkin."
694,"If you would like us to figure out what went wrong here,"
695,we need to be allowed to access it...
696,No more second chances.
697,QA will handle events like this from now on.
698,"Is that going to be a problem, Bernard?"
699,We've all got plenty of work on our plates.
700,"If you guys want to take this one, fine."
701,Just get us a copy of the postmortem when it's done.
702,Let's get started.
703,"You know, I always figured"
704,you gave me this job because I speak my mind.
705,- I did. - Good.
706,I would've preferred you not show up at all
707,if the first thing you were going to do is cave.
708,They think we're not telling them something.
709,And we're not! There is clearly a pattern of behavior here.
710,"First there was Abernathy, and now there's this."
711,"I mean, I've got hosts imagining voices and climbing mountaintops"
712,to consult their astrological chart.
713,This is not a fucking glitch.
714,"And for some reason, you don't want me to tell anyone."
715,It is like everybody around here
716,has got some kind of fucking agenda except for me.
717,And... What?
718,I remember when I first started here. The hosts seemed very lifelike.
719,You begin to read things into their behaviors.
720,- Don't be patronizing. - Fine.
721,"The hosts don't imagine things, you do."
722,That's not Orion.
723,"There are three stars in Orion's belt, not four."
724,Hey.
725,You must be cold.
726,Take that.
727,- Thank you. - Sure.
728,We gotta take her back to Sweetwater.
729,Are you fucking kidding?
730,"Come on, Logan, you know she doesn't belong out here."
731,"You leave now, that no-good outlaw, Slim Miller, is sure to evade our grasp."
732,No fucking way.
733,You were the one who dragged me on this stupid bounty hunt.
734,"The least we're going to do is see it through, okay?"
735,We can't take her on a bounty hunt.
736,"If you're so concerned about her well-being,"
737,"I'll just blow her brains out, and then the park will come get her."
738,"Hey, hey."
739,Can you please stop trying to just kill or fuck everything?
740,Oh.
741,Oh!
742,- Now I get it. - What?
743,The park sent her
744,so that you will finally have something to give a shit about.
745,"Oh, yeah, I'm sure the people at the controls"
746,are monitoring my every mood.
747,That's exactly what they're doing.
748,"Come on, you really think it's coincidence"
749,that the only thing that you even smiled at back in Sweetwater
750,just happened to drop into your lap?
751,This is why the company needs to bump our stake in this place.
752,They can even give you a sense of purpose.
753,You said the trip was about welcoming me to the family.
754,This is business?
755,"With our family, William, everything is business."
756,"We better get a move on, gentlemen."
757,"This should be the place, Lawrence. The Blood Arroyo."
758,"Plenty of snakes, but none of the egg-laying variety."
759,"You killed my wife,"
760,"severely pruned my family tree, all in pursuit of some goddamn maze."
761,"The hell you hope to find, anyway?"
762,This whole world is a story. I've read every page except the last one.
763,I need to find out how it ends.
764,I want to know what this all means.
765,"See, now that's why I never learned to read."
766,"Why don't we forget about this damn snake, head to Pariah?"
767,My friends there can help us.
768,"Well, your friends have nothing I'm looking for. Not this trip."
769,"Besides,"
770,I think we found our snake after all.
771,Shame on you. You were a married man up until yesterday.
772,"Her? Hell, no."
773,I like a little fire in my women.
774,The only thing she's ever mounted are dead heads on sticks.
775,We should get the fuck out...
776,We found some more food for the horses.
777,Good.
778,They were starting to get ornery.
779,My friend and I were just admiring your tattoo.
780,We'd love to know the story behind it.
781,And I like your hat. Maybe I'll keep it. The horses can have the rest of you.
782,How in hell have we never met? Clearly a terrible oversight on my part.
783,"Where, may I ask, are you headed?"
784,To retrieve something of great value.
785,You look a little shorthanded.
786,We got enough men.
787,Seems like you got a couple positions open.
788,We've got a host making a pretty big deviation from her loop.
789,- Which one? - The rancher's daughter from Sweetwater.
790,Dolores.
791,- Is she accompanying a guest? - Unclear.
792,"The boss is disrupting so many storylines with his new narrative,"
793,it's hard to tell.
794,"Flag her with behavior, they can pull her today."
795,Make sure everything's checking out.
796,Good morning.
797,It's a lovely town. Is this your home?
798,"Well, where are you from?"
799,Same as you. Don't you remember?
800,Remember.
801,Ma'am?
802,Got word a girl went missing from Abernathy Ranch.
803,Is that where you belong? I'm sure your daddy's worried about you.
804,My father's dead.
805,I'm not going back.
806,What's going on here?
807,Just helping a lost traveler.
808,"She's not lost, she's with me."
809,My mistake. Y'all have a nice morning.
810,Yeah.
811,"So, we got a lead on Slim."
812,"You can stay here if you want, and I'll just circle back and get you."
813,"No, I think I need to keep going."
814,Okay.
815,"Apparently, she needs to make certain this thing they're looking for"
816,is where they think it is.
817,She said she'd signal if the information was good.
818,Guess that's the signal.
819,I'm sorry if I caused trouble with you and your friend.
820,"Oh, no, no. No, it's fine. I'm glad you found us."
821,"Uh, I didn't get a chance to ask where you're headed."
822,I don't really know yet.
823,I guess I figured they kept you in zones or on paths or...
824,I used to believe there was a path for everyone.
825,"Now, I think I never asked where that path was taking me."
826,We would bring the herd down off the mountain in the fall.
827,"Sometimes we would lose one along the way, and I'd worry over it."
828,My father...
829,My father would tell me
830,that the steer would find its own way home.
831,"And, often as not, they did."
832,Never occurred to me that we were bringing them back for the slaughter.
833,How are you going to find your way now?
834,I'm not sure you'll understand.
835,Sometimes I feel
836,like something's calling me.
837,Telling me there's a place for me somewhere beyond all this.
838,"I know that feeling, Dolores. I know that feeling."
839,But you really don't want to go back to your old life?
840,Are you all right?
841,"Hey, hey. You all right?"
842,I just got a chill. That's all.
843,"Let's go back to the fire, you're probably exhausted."
844,Just talk to him.
845,All right.
846,"Uh, excuse me, sir?"
847,"I didn't want to intrude,"
848,but I just had to say that I'm such an admirer of yours.
849,Your foundation literally saved my sister's...
850,One more word and I'll cut your throat. You understand?
851,This is my fucking vacation.
852,"Apparently, whatever they're looking for is in the Ojal prison."
853,These lunatics plan to steal a cannon from a Union cavalry unit.
854,Blast their way in.
855,I don't have time for color-by-numbers bullshit.
856,I'll ride at dawn.
857,I'll go get whatever you want
858,out of that prison and bring it back myself.
859,Suppose you make it out alive. What's your price?
860,Nothing but a few words.
861,I want the story behind your tattoo.
862,What's your interest in it?
863,You ever heard of a man named Arnold?
864,You could say he was the original settler of these parts.
865,He created a world where you could do anything you want except one thing.
866,You can't die.
867,"Which means no matter how real this world seems,"
868,it is still just a game.
869,But then Arnold went and broke his own rule.
870,He died right here in the park.
871,Except I believe he had one story left to tell.
872,"A story with real stakes, real violence."
873,You could say I'm here to honor his legacy.
874,And I think your tattoo is the next piece of the puzzle.
875,"So, do we have a wager?"
876,You aim to break into a prison and take out 20 men alone?
877,Not alone. I'll take Lawrence here.
878,And I'll need one match.
879,"One match,"
880,one pistol and one idiot.
881,I'll take those odds.
882,Hyah!
883,You gonna give me the silent treatment the whole way there?
884,You should've left me hanging from those gallows.
